title,author,description,isbn,image,available
AI Books,"Jamal Hopper, AI","AI Books explores the transformative potential of artificial intelligence in education, specifically focusing on AI-powered textbooks. It argues that these textbooks represent a shift from passive information consumption to active, personalized learning experiences. Traditional textbooks often fall .",9788235201447,http://books.google.com/books/content?id=rWxLEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
AI Side Hustle Essentials 2 Books in 1,AI Profit Lab,"Turn ChatGPT and AI into your personal profit-making machine and start building passive income today with minimal time and effort. Are you tired of hustling endlessly with little to show for it? Struggling to find the time, energy, or expertise to create reliable income streams? Frustrated by side h.",ISBN-5926864433,http://books.google.com/books/content?id=8R1BEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence By Example,Denis Rothman,"Be an adaptive thinker that leads the way to Artificial Intelligence Key Features AI-based examples to guide you in designing and implementing machine intelligence Develop your own method for future AI solutions Acquire advanced AI, machine learning, and deep learning design skills Book Description .",9781788990028,http://books.google.com/books/content?id=KnxeDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"Generative AI For Nerds Guide Book: Generative AI, ai coding, deep learning, machine learning,ai tutorial, AI guide, artificial intelligence",Matt Kingsley,"Stop reading about the AI revolution. Start building it. ""Generative AI for Nerds"" is your hands-on guide to coding the impossible. Unlock the secrets of deep learning, master GANs and RNNs, and create AI that generates art, music, text, and more. No PhD required, just pure coding power. Decode the .",ISBN-9981684374,http://books.google.com/books/content?id=S1FHEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
TEXT BOOK OF ARTIFICIAL INTELLIGENCE,"Dr. Rakesh Singh, Dr. Shuchi Dave, Prof. Sushil K. Kashaw, Prof. (Dr.) Sandeep Gangrade, Lalbihari B","Textbook of Artificial Intelligence is a comprehensive guide for students, educators, and professionals seeking foundational and advanced knowledge in AI. It begins with a clear definition and history of Artificial Intelligence, helping readers understand its roots and evolution. The book explores r.",9789360876456,http://books.google.com/books/content?id=N0ZZEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
An Artificial Intelligence Novel,Harry Katzan Jr.,"This is a novel about Artificial Intelligence. As unusual as it sounds, there is a very good reason for its existence. There are existing books on the subject that are very good but are very difficult to read. It’s that simple. The concepts are complicated and some require complex math. This book in.",9781663258250,http://books.google.com/books/content?id=z8_mEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Demystifying Artificial intelligence,Prashant Kikani,"Learn AI & Machine Learning from the first principles. KEY FEATURESÊÊ _ Explore how different industries are using AI and ML for diverse use-cases. _ Learn core concepts of Data Science, Machine Learning, Deep Learning and NLP in an easy and intuitive manner. _ Cutting-edge coverage on use of ML for.",9789389898705,http://books.google.com/books/content?id=KxMSEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Architects of Intelligence,Martin Ford,"Financial Times Best Books of the Year 2018 TechRepublic Top Books Every Techie Should Read Book Description: How will AI evolve and what major innovations are on the horizon? What will its impact be on the job market, economy, and society? What is the path toward human-level machine intelligence? W.",1789954533,http://books.google.com/books/content?id=nxnNvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
AI,Margaret A. Boden,"Margaret Boden considers the realistic and unrealistic expectations we have placed on AI, analyzes its progress, and considers the value of its byproducts.",9780198777984,http://books.google.com/books/content?id=yDQTDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The AI Factor,Asha Saxena,"Take heart. AI is none of those things. It’s part of our everyday lives, and it has the power to transform your business. This book will put AI, big data, the cloud, robotics, and smart devices in context. It will reveal how these technologies can dramatically multiply any businesses—including yours.",9781637584583,http://books.google.com/books/content?id=i_-lEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Understanding Artificial Intelligence,"Ralf T. Kreutzer, Marie Sirrenberg",Artificial Intelligence (AI) will change the lives of people and businesses more fundamentally than many people can even imagine today. This book illustrates the importance of AI in an era of digitalization. It introduces the foundations of AI and explains its benefits and challenges for companies a.,9783030252717,http://books.google.com/books/content?id=5Q-yDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Novel AI and Data Science Advancements for Sustainability in the Era of COVID-19,"Victor Chang, Mohamed Abdel-Basset, Muthu Ramachandran, Nicolas Green, Gary Wills","Novel AI and Data Science Advancements for Sustainability in the Era of COVID-19 discusses how the role of recent technologies applied to health settings can help fight virus outbreaks. Moreover, it provides guidelines on how governments and institutions should prepare and quickly respond to drastic.",9780323903783,http://books.google.com/books/content?id=H788EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The Sacred Books of the East,Friedrich Max Müller,No description available.,ISBN-2262934236,http://books.google.com/books/content?id=daG20sLlSzMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"Catalogue of Title-entries of Books and Other Articles Entered in the Office of the Librarian of Congress, at Washington, Under the Copyright Law ... Wherein the Copyright Has Been Completed by the De",Library of Congress. Copyright Office,No description available.,ISBN-6404094763,http://books.google.com/books/content?id=gkfQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Get Your Book Selling on Kobo,Monica Leonelle,"Written for an author, by an author, this is an unofficial definitive guide to increasing your book sales at Apple Books. It covers: What Rakuten’s global strategy can tell us about how to sell more books on Kobo How Kobo’s visibility algorithms and “Books Related” work in their store (what we know,.",9781635660616,http://books.google.com/books/content?id=7sgDEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Advanced Lessons in Artificial Intelligence: A Technical Novel and a Readable Primer,Harry Katzan Jr.,"There are a lot of people that are worried about artificial intelligence, where artificial intelligence is commonly regarded as the science of making machines do things that would require intelligence if performed by humans. Primarily, they think that the adoption of that technology will cause them .",9781663261557,http://books.google.com/books/content?id=npQCEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
A Concise Book of Artificial Intelligence,Sofiqul Islam,"A Concise Book of Artificial Intelligence"" by Sofiqul Islam is a comprehensive guide designed for Class 10 students, aligned with the CBSE 2024–25 curriculum (Subject Code – 417). The book simplifies complex AI concepts into easy-to-understand lessons covering topics like AI project cycles, advanced.",ISBN-4220959805,http://books.google.com/books/content?id=G-JrEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"Mind-Reading and Artificial Intelligence: Past, Present and Future",Prof. (Dr.) Jai Paul Dudeja,"Mind-reading typically refers to the ability of discerning or interpreting someone else's thoughts, feelings, or intentions. Mind Reading has two components: human-based, and (ii) device-based (artificial intelligence). Artificial Intelligence (AI) refers to programming computers to do tasks that no.",9798895562574,http://books.google.com/books/content?id=SGgrEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The AI Marketing Playbook,Mark Lamplugh,"Explore the transformative world of AI-driven marketing by integrating Artificial Intelligence into modern marketing strategies. This book is designed to help businesses optimize their operations, personalize customer experiences, and harness the full potential of AI to drive growth and innovation. .",9781501520037,http://books.google.com/books/content?id=gCQlEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
A Text Book Of Artificial Intelligence Principles And Applications,"Mr. Sanjay Kumar Rai, Rahul Bhati","A Textbook of AI: Principles and Applications is an indispensable guide that illuminates the intricate realm of Artificial Intelligence (AI) with a blend of theoretical depth and practical insights. Authored to cater to the needs of students, educators, and professionals, this comprehensive text tra.",9788119843893,http://books.google.com/books/content?id=Wt_rEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
What Every Engineer Should Know about Artificial Intelligence,William A. Taylor,AI expert and consultant William Taylor provides a practical explanation of the parts of AI research that are ready for use by anyone with an engineering degree and that can help engineers do their jobs better.,0262200694,http://books.google.com/books/content?id=I6SUWg0DAgsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
"Improving Library Systems with AI: Applications, Approaches, and Bibliometric Insights","Senthilkumar, K.R., Jagajeevan, R.","As libraries transition into the digital age, they encounter a pressing challenge: outdated information systems hinder their ability to meet the diverse needs of patrons. Traditional library management systems struggle to cope with the demands of modern users, resulting in inefficient resource alloc.",9798369355954,http://books.google.com/books/content?id=ObkIEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
